,sr_,degree_1,degree_1_specializations,campus,key_skills,key_skills_str
0,1001,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
1,1002,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
2,1003,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
3,1004,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
4,1005,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
5,1006,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
6,1007,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
7,1008,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
8,1009,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9,1010,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
10,1011,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
11,1012,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
12,1013,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
13,1014,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
14,1015,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
15,1016,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
16,1017,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
17,1018,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
18,1019,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
19,1020,B.E.,Mechanical,MITCOE,"['CAD,CAM']","CAD,CAM"
20,1021,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
21,1022,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
22,1023,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
23,1024,B.E.,Mechanical,MITCOE,"['CAD,CAM']","CAD,CAM"
24,1025,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
25,1026,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
26,1027,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
27,1028,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
28,1029,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
29,1030,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
30,1031,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
31,1032,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
32,1033,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
33,1034,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
